dataset,model,prompt,akurasi,n
indommlu,base,lagu,35.2,2000
indommlu,base,netral,34.4,2000
indommlu,penuh,lagu,42.8,2000
indommlu,penuh,netral,41.8,2000
indommlu,penuh15,lagu,38.3,2000
indommlu,penuh15,netral,37.9,2000
indommlu,acak,,23.4,2000
indoculture,base,lagu,58.7,2429
indoculture,base,netral,59.0,2429
indoculture,penuh,lagu,57.6,2429
indoculture,penuh,netral,59.0,2429
indoculture,penuh15,lagu,55.7,2429
indoculture,penuh15,netral,55.8,2429
indoculture,acak,,33.3,2429
